bleu,chrf,meteor,bertscore_f1,model,time_taken
36.95689281606759,60.5402325063039,50.68403267796426,89.01662230491638,opus-mt-es-en,1834.82745718956
31.767644782904735,51.067306729867454,40.162706953020033,84.3730092048645,M2M100,2571.371368408203
36.98959620276544,57.16388027290991,48.603225587415644,86.38579249382019,NLLB,787.0161917209625
22.64670650545721,42.715622901438266,30.760829670608353,83.46872925758362,Flan-T5,3854.2926259040833
